,geometry,ev_stations_counts,ev_stations_geometries,parking_counts,restaurant_counts,library_counts,university_counts,school_counts,park_counts,cinema_counts,place_of_worship_counts,retail_counts,commercial,nodes,edges,road_density,pop_density
44,"POLYGON ((2.302726224 48.84443566666667, 2.302726224 48.83481561111111, 2.292900696 48.83481561111111, 2.292900696 48.84443566666667, 2.302726224 48.84443566666667))",4,"[[<POINT (2.299 48.84)>], [<POINT (2.298 48.841)>], [<POINT (2.299 48.843)>], [<POINT (2.294 48.838)>]]",1,72,1,0,10,3,2,8,6,1,99,183,0.01886209029066172,55.185986230976475
45,"POLYGON ((2.302726224 48.83481561111111, 2.302726224 48.82519555555556, 2.300989174429792 48.82519555555556, 2.3007147 48.8252543, 2.2976469 48.8259109, 2.2942296 48.8266901, 2.292900696 48.82698632341142, 2.292900696 48.83481561111111, 2.302726224 48.83481561111111))",2,"[[<POINT (2.299 48.834)>], [<POINT (2.296 48.831)>]]",2,23,0,1,7,7,0,4,4,3,75,128,0.023063063063063063,54.525996404647536
46,"POLYGON ((2.302726224 48.82519555555556, 2.302726224 48.82481373817039, 2.3023384 48.8249028, 2.3017791 48.8250224, 2.3013179 48.8251252, 2.300989174429792 48.82519555555556, 2.302726224 48.82519555555556))",0,[],0,0,0,0,0,0,0,0,0,0,3,2,0.3333333333333333,40.08238212561742
47,"POLYGON ((2.302726224 48.893660126811405, 2.3032773 48.8939169, 2.303395 48.8939748, 2.3037934 48.8941707, 2.3060163 48.895227, 2.3071852 48.895784, 2.3073107 48.8958473, 2.3075545 48.8959598, 2.3076874 48.8960103, 2.3078197 48.8960601, 2.3095441 48.8967081, 2.3118553 48.897577, 2.3123424 48.8977601, 2.312551752 48.897821674117644, 2.312551752 48.89253594444444, 2.302726224 48.89253594444444, 2.302726224 48.893660126811405))",0,[],1,4,0,0,0,0,0,0,0,0,17,21,0.07720588235294118,64.3716855558521
48,"POLYGON ((2.312551752 48.89253594444444, 2.312551752 48.88291588888889, 2.302726224 48.88291588888889, 2.302726224 48.89253594444444, 2.312551752 48.89253594444444))",1,[[<POINT (2.312 48.887)>]],7,62,1,1,18,2,2,4,3,2,96,178,0.019517543859649124,66.97403848321119
49,"POLYGON ((2.312551752 48.88291588888889, 2.312551752 48.87329583333333, 2.302726224 48.87329583333333, 2.302726224 48.88291588888889, 2.312551752 48.88291588888889))",3,"[[<POINT (2.31 48.876)>], [<POINT (2.306 48.874)>], [<POINT (2.311 48.878)>]]",1,65,0,0,7,2,0,6,0,0,86,166,0.02270861833105335,30.815249837730402
50,"POLYGON ((2.312551752 48.87329583333333, 2.312551752 48.86367577777778, 2.302726224 48.86367577777778, 2.302726224 48.87329583333333, 2.312551752 48.87329583333333))",0,[],8,111,0,0,6,12,2,4,6,1,74,121,0.02239911144020733,19.343184363863003
51,"POLYGON ((2.312551752 48.86367577777778, 2.312551752 48.85405572222222, 2.302726224 48.85405572222222, 2.302726224 48.86367577777778, 2.312551752 48.86367577777778))",0,[],7,69,1,0,9,2,0,4,6,0,81,132,0.020370370370370372,24.654562680358204
52,"POLYGON ((2.312551752 48.85405572222222, 2.312551752 48.84443566666667, 2.302726224 48.84443566666667, 2.302726224 48.85405572222222, 2.312551752 48.85405572222222))",6,"[[<POINT (2.311 48.851)>], [<POINT (2.308 48.85)>], [<POINT (2.308 48.85)>], [<POINT (2.308 48.85)>], [<POINT (2.305 48.849)>], [<POINT (2.304 48.846)>]]",10,35,2,1,2,2,0,4,2,0,102,220,0.021355076684139003,37.93922788940584
53,"POLYGON ((2.312551752 48.84443566666667, 2.312551752 48.83481561111111, 2.302726224 48.83481561111111, 2.302726224 48.84443566666667, 2.312551752 48.84443566666667))",2,"[[<POINT (2.309 48.842)>], [<POINT (2.306 48.838)>]]",2,57,1,0,20,8,0,3,3,2,72,112,0.02190923317683881,55.18598623097647
